,Accuracy,Precision,Recall,F1
Logistic Regression,0.9770616537988139,0.9817596566523605,0.9744408945686901,0.9780865847140566
Decision Tree,0.9191003692514267,0.9096534653465347,0.939297124600639,0.9242376611128575
Random Forest,0.963074857334676,0.9698600645855759,0.9595314164004259,0.9646680942184154
SVM,0.98702025288128,0.9903619618762047,0.984877529286475,0.9876121315677061
Gradient Boosting,0.9496475327291037,0.9591174561972745,0.9444089456869009,0.9517063747585319
